,ID,Title,Score,Rating,Genre,Directed By,Written By,Box Office,Release Date,Runtime,Studio
553,A_2796,Trainwreck,62,R,Comedy,Judd Apatow,Amy Schumer,110212700,2015-07-17,125,Universal Pictures
554,A_2806,Zoolander 2,47,PG-13,Comedy,Ben Stiller,Justin Theroux,28848693,2016-02-12,101,Panorama Films
555,A_2809,The Intern,71,PG-13,Comedy,Nancy Meyers,Nancy Meyers,75764672,2015-09-25,121,Waverly Films
556,A_2810,The Edge of Seventeen,74,R,Comedy,Kelly Fremon Craig,Kelly Fremon Craig,14260193,2016-11-18,104,Gracie Films
557,A_2812,Me and Earl and the Dying Girl,78,PG-13,Comedy,Alfonso Gomez-Rejon,Jesse Andrews,6743776,2015-07-01,105,Indian Paintbrush
558,A_2819,"Love, Rosie",72,R,Comedy,Christian Ditter,Juliette Towhidi,14893,2014-10-22,102,Canyon Creek Films
559,A_2821,Sex Tape,51,R,Comedy,Jake Kasdan,Kate Angelo,38543473,2014-07-18,94,Columbia Pictures
560,A_2833,Unforgettable,67,TV-14,Drama,,John Bellucci,0,1900-1-1,60,Timberman-Beverly Productions
561,A_2839,Winter's Tale,62,PG-13,Fantasy,Akiva Goldsman,Akiva Goldsman,22451,2014-02-14,118,Village Roadshow Pictures
562,A_2842,The Best Offer,78,R,Drama,Giuseppe Tornatore,Giuseppe Tornatore,85433,2014-01-01,131,Paco Cinematografica
563,A_2850,Lost River,58,R,Fantasy,Ryan Gosling,Ryan Gosling,43282,2015-04-10,95,Bold Films
564,A_2866,Riddick,64,R,Thriller,David Twohy,David Twohy,42025135,2013-09-06,119,Entertainment One
565,A_2871,Survivor,70,TV-PG,Television,,Charlie Parsons,0,1900-1-1,60,Mark Burnett Productions
566,A_2873,Wild,71,R,Documentary,Jean-Marc Vall�e,Nick Hornby,37880356,2014-12-19,115,Bob Industries
567,A_2881,R.I.P.D.,56,PG-13,Comedy,Robert Schwentke,Phil Hay,33618855,2013-07-19,96,Universal Pictures
568,A_2892,The Last Witch Hunter,60,PG-13,Fantasy,Breck Eisner,Cory Goodman,27367660,2015-10-23,106,Summit Entertainment
569,A_2923,The Quiet Ones,51,PG-13,Horror,John Pogue,Craig Rosenberg,8496112,2014-04-25,98,Exclusive Media Group
570,A_2925,"I, Frankenstein",51,PG-13,Fantasy,Stuart Beattie,Stuart Beattie,19075290,2014-01-24,92,Hopscotch Features
