B_0001,Title,Score,Rating,Genre,Directed By,Written By,Box Office,Release Date,Runtime,Studio
B_0067,Teenage Cocktail,100,NOT RATED,Drama,John Carchietta,Sage Bannick;Chris Sivertson;John Carchietta,NA,NA,88,NA
B_0068,Wonder,85,PG,Drama,Stephen Chbosky,Jack Thorne;Steven Conrad;Stephen Chbosky,132090170,2017-11-17,113,Lionsgate
B_0069,Red Dog: True Blue,100,NOT RATED,Drama;Kids & Family,Kriv Stenders,Daniel Taplitz,NA,NA,89,
B_0070,The Housemaid (CÃÂ´ HÃÂ¢u GÃÂ¡i),63,NOT RATED,Drama;Horror,Derek Nguyen,Derek Nguyen,NA,2018-02-16,105,IFC Films
B_0071,A Bad Moms Christmas,29,R,Comedy,Jon Lucas;Scott Moore,Jon Lucas;Scott Moore,72080547,2017-11-01,NA,STXfilms
B_0072,Golden Exits,68,R,Drama,Alex Ross Perry,Alex Ross Perry,NA,2018-02-09,94,
B_0073,Take Every Wave: The Life of Laird Hamilton,76,NOT RATED,Documentary,Rory Kennedy,Jack Youngelson;Mark Bailey,41053,2017-09-29,118,
B_0074,Walking Out,92,PG-13,Action & Adventure;Drama;Mystery & Suspense,Andrew J. Smith;Alex Smith,Andrew J. Smith;Alex Smith,101947,2017-10-06,95,
B_0075,Django,57,NOT RATED,Art House & International;Drama,Etienne Comar,Alexis Salatko;Etienne Comar,11722,2018-01-05,117,
B_0076,Tom of Finland,81,NOT RATED,Art House & International;Drama,Dome Karukoski,Aleksi Bardy,323048,2017-10-13,114,Kino Lorber
B_0077,Mad to Be Normal,56,NOT RATED,Art House & International;Drama,Robert Mullan,Robert Mullan;Tracy Moreton,NA,2018-02-16,106,Samuel Goldwyn Films
B_0078,The Ballad of Lefty Brown,78,R,Western,Jared Moshe,Jared Moshe,NA,2017-12-15,111,
B_0079,Suburbicon,29,R,Comedy,George Clooney,Ethan Coen;Joel Coen;Grant Heslov;George Clooney,5748427,2017-10-27,105,Paramount Pictures
B_0080,Blade of the Immortal (Mugen no jÃÂ»nin),85,R,Action & Adventure;Drama,Takashi Miike,Takashi Miike;Tetsuya Oishi,117545,2017-11-03,140,Magnolia Pictures
B_0081,Stratton,0,R,Action & Adventure;Mystery & Suspense,Simon West,Warren Davis II;Duncan Falconer,NA,2018-01-05,95,
B_0082,The Florida Project,95,R,Drama,Sean Baker (II),Chris Bergoch;Sean Baker (II),5412775,2017-10-06,115,A24 Films
B_0083,Entanglement,60,NOT RATED,Comedy;Romance,Jason James (II),Jason Filiatrault,NA,2018-02-09,85,Dark Star Pictures
B_0084,The Female Brain,27,NOT RATED,Comedy,Whitney Cummings,Whitney Cummings;Neal Brennan,NA,2018-02-09,98,
B_0085,Becks,93,NOT RATED,Drama,Elizabeth Rohrbaugh;Daniel Powell,Daniel Powell;Rebecca Drysdale;Elizabeth Rohrbaugh,NA,2018-02-09,90,Irony Point
B_0086,"Roman J. Israel, Esq.",51,PG-13,Drama,Dan Gilroy,Dan Gilroy,11887893,2017-11-22,117,Sony Pictures
