B_0001,Title,Score,Rating,Genre,Directed By,Written By,Box Office,Release Date,Runtime,Studio 
B_1389,The Stanford Prison Experiment,84,R,Drama,Kyle Patrick Alvarez,Tim Talbott,NA,2015-07-17,120,IFC Films
B_1390,Amy,94,R,Art House & International;Documentary;Musical & Performing Arts;Special Interest,Asif Kapadia,NA,7851076,2015-07-03,128,A24 Films
B_1391,Unbranded,73,PG-13,Documentary,Phillip Baribeau,NA,NA,NA,105,Gravitas Ventures
B_1392,Once I Was A Beehive,75,PG,Comedy;Drama,Maclain Nelson,Maclain Nelson,NA,2015-08-14,119,Purdie Distribution
B_1393,90 Minutes In Heaven,24,PG-13,Drama,Michael Polish,Michael Polish,NA,2015-09-11,121,Samuel Goldwyn Films
B_1394,Momentum,28,NOT RATED,Action & Adventure;Mystery & Suspense,Stephen Campenelli;Stephen Campanelli,Adam Marcus;Debra Sullivan,NA,2015-10-16,96,NA
B_1395,Yakuza Apocalypse,61,R,Action & Adventure;Art House & International;Comedy;Horror,Takashi Miike,Yoshitaka Yamaguchi,NA,2015-10-09,115,
B_1396,We Are Your Friends,39,R,Drama,Max Joseph,Max Joseph;Meaghan Oppenheimer,NA,2015-08-28,96,
B_1397,Zarafa,78,NOT RATED,Animation;Kids & Family,RÃÂ©mi BezanÃÂ§on;Jean-Christophe Lie,RÃÂ©mi BezanÃÂ§on;Alexander Abela,NA,2015-07-03,78,GKIDS
B_1398,The Girls in the Band,100,NOT RATED,Documentary;Special Interest,Judy Chaikin,NA,NA,2013-05-10,81,Independent Pictures
B_1399,Inside Out,98,PG,Animation;Kids & Family,Pete Docter;Ronnie del Carmen,Meg LeFauve;Josh Cooley;Pete Docter,264317903,2015-06-19,94,Disney/Pixar
B_1400,Vacation,26,R,Action & Adventure;Comedy,Jonathan M. Goldstein;John Francis Daley,John Francis Daley;Jonathan M. Goldstein,40292843,2015-07-29,99,Warner Bros. Pictures
B_1401,Terminator Genisys,26,PG-13,Action & Adventure,Alan Taylor,Patrick Lussier;Laeta Kalogridis,75614989,2015-07-01,119,Paramount Pictures
B_1402,Matt Shepard is a Friend of Mine,100,NOT RATED,Documentary;Special Interest,Michele Josue,Michele Josue,NA,2015-02-06,89,Run Rabbit Run Media
B_1403,Trainwreck,86,R,Comedy,Judd Apatow,Amy Schumer,NA,2015-07-17,129,Universal Pictures
B_1404,Stations of the Cross,92,NOT RATED,Art House & International;Drama,Dietrich BrÃÂ¼ggemann,Dietrich BrÃÂ¼ggemann;Anna BrÃÂ¼ggemann,159,2015-07-10,107,Film Movement
B_1405,We'll Never Have Paris,27,R,Comedy;Romance,Jocelyn Towne;Simon Helberg,Simon Helberg,NA,2015-01-23,95,Orion Releasing
B_1406,Far from Men,83,NOT RATED,Art House & International;Drama,David Oelhoffen,David Oelhoffen,NA,2015-04-29,110,Tribeca Film
B_1407,Before We Go,21,PG-13,Comedy;Drama;Romance,Chris Evans,Chris Shafer;Ronald Bass;Jen Smolka;Paul Vicknair,22522,2015-09-04,89,
B_1408,Seymour: An Introduction,100,PG,Documentary,Ethan Hawke,NA,723701,2015-03-13,84,IFC Films
B_1409,Do I Sound Gay?,84,NOT RATED,Documentary;Special Interest,David Thorpe,David Thorpe,87742,2015-07-10,78,IFC Films
B_1410,Mr. Dynamite: The Rise of James Brown,100,NOT RATED,Documentary;Musical & Performing Arts,Alex Gibney,NA,NA,NA,130,
B_1411,She's Funny That Way,41,R,Comedy,Peter Bogdanovich,Peter Bogdanovich;Louise Stratten,NA,2015-08-21,93,Lionsgate Premiere
B_1412,Toy Story That Time Forgot,100,NOT RATED,Action & Adventure;Animation,Steve Purcell (II),Steve Purcell (II),NA,2014-12-02,22,Disney/Pixar
B_1413,Elf: Buddy's Musical Christmas,89,NOT RATED,Animation;Kids & Family;Television,Mark Caballero;Seamus Walsh,NA,NA,2014-12-16,60,
B_1414,Bloodsucking Bastards,61,NOT RATED,Comedy,Brian James O'Connell,Ryan Mitts,NA,2015-01-23,87,Shout Factory
B_1415,The End Of The Tour,91,R,Drama,James Ponsoldt,Donald Margulies,NA,2015-07-31,105,A24 Films
B_1416,Best Of Enemies,94,R,Documentary,Morgan Neville;Robert Gordon,Morgan Neville;Robert Gordon,891997,2015-07-31,87,Magnolia Pictures
B_1417,Digging For Fire,63,R,Drama,Joe Swanberg,Joe Swanberg;Jake Swanberg;Jake Johnson (XVI),119364,2015-08-21,85,
B_1418,Tangerine,97,R,Comedy;Drama,Sean Baker (II),Chris Bergoch;Sean Baker (II),NA,2015-07-10,88,Magnolia Pictures
B_1419,The Final Girls,70,PG-13,Comedy;Horror,Todd Strauss-Schulson,Joshua John Miller;M.A. Fortin,NA,2015-10-09,88,Stage 6 Films
B_1420,Mr. Holmes,88,PG,Art House & International;Drama;Mystery & Suspense,Bill Condon,Arthur Conan Doyle;Jeffrey Hatcher,14173994,2015-07-17,104,Roadside Attractions
B_1421,My Italian Secret: The Forgotten Heroes,80,NOT RATED,Art House & International;Documentary;Special Interest;Sports & Fitness,Oren Jacoby,Oren Jacoby,NA,2015-03-27,92,The Film Sales Company
B_1422,Winning: The Racing Life Of Paul Newman,90,NOT RATED,Documentary;Special Interest,Nate Adams;Adam Carolla,Adam Carolla;Nate Adams,NA,2015-05-08,83,FilmBuff
B_1423,Bound to Vengeance,25,NOT RATED,Horror,J. M. Cravioto;Jose Manuel Cravioto,Keith Kjornes,NA,2015-06-26,95,
B_1424,Tap World,86,NOT RATED,Documentary;Musical & Performing Arts,Dean Hargrove,Dean Hargrove,13120,2015-07-10,72,Vitagraph Films
B_1425,Wild City,50,NOT RATED,Action & Adventure;Art House & International;Mystery & Suspense;Science Fiction & Fantasy,Ringo Lam,Ringo Lam,17181,2015-07-31,104,
B_1426,The Diabolical,43,NOT RATED,Horror;Mystery & Suspense;Science Fiction & Fantasy,Alistair Legrand,Alistair Legrand;Luke Harvis,NA,2015-10-16,86,NA
B_1427,Rebels of the Neon God,100,NOT RATED,Art House & International;Drama,Ming-liang Tsai,Ming-liang Tsai,17335,2015-04-10,106,Big World Pictures
B_1428,The Forgotten Space,71,NOT RATED,Documentary;Drama,Allan Sekula;NoÃÂ«l Burch,NA,NA,2012-02-15,110,WILDArt Film
B_1429,Southpaw,59,R,Drama,Antoine Fuqua,Kurt Sutter;Richard Wenk,42373328,2015-07-24,123,The Weinstein Company
B_1430,Pixels,17,PG-13,Animation;Comedy;Drama,Chris Columbus,Tim Herlihy;Adam Sandler;Timothy Dowling,66412009,2015-07-24,106,Sony Pictures
B_1431,The Human Centipede III (Final Sequence),18,NOT RATED,Horror,Tom Six,Tom Six,470,2015-05-22,100,
B_1432,Jurassic World,71,PG-13,Action & Adventure;Mystery & Suspense;Science Fiction & Fantasy,Colin Trevorrow,Rick Jaffa;Amanda Silver;Derek Connolly;Colin Trevorrow,528757749,2015-06-12,123,Universal Pictures
B_1433,Blackwood,43,NOT RATED,Mystery & Suspense,Adam Wimpenny,J.S. Hill,NA,2013-10-17,100,Wildcard Films
B_1434,San Andreas,50,PG-13,Action & Adventure,Brad Peyton,Jeremy Passmore;Chad Hayes;Carlton Cuse;Carey Hayes,127666001,2015-05-29,114,Warner Bros.
B_1435,Seeds Of Time,67,NOT RATED,Documentary;Special Interest,Sandy McLeod,NA,NA,2015-05-22,77,NA
B_1436,Drug Lord: The Legend Of Shorty,63,NOT RATED,Documentary;Special Interest,Angus MacQueen;Guillermo Galdos,Angus MacQueen,NA,2014-03-01,86,
B_1437,GÃÂ¼eros,94,NOT RATED,Comedy,Alonso Ruizpalacios,Alonso Ruizpalacios;GibrÃÂ¡n Portela,NA,2015-05-20,106,Kino Lorber Films
B_1438,Max,35,PG,Action & Adventure,Boaz Yakin,Boaz Yakin;Sheldon Lettich,26714191,2015-06-26,111,Warner Bros. Pictures
B_1439,Xenia,86,NOT RATED,Drama,Panos H. Koutras;Panos Koutras,Panos H. Koutras;Panagiotis Evangelidis,NA,2015-10-09,123,Strand Releasing
B_1440,Tu Dors Nicole,100,NOT RATED,Comedy;Drama,StÃÂ©phane Lafleur,ValÃÂ©rie Beaugrand-Champagne;StÃÂ©phane Lafleur,NA,2015-05-29,93,Kino Lorber
B_1441,Testament Of Youth,83,PG-13,Drama;Romance,James Kent,Juliette Towhidi,NA,2015-06-05,129,Sony Pictures Classics
B_1442,Paper Towns,56,PG-13,Drama,Jake Schreier,Scott Neustadter;Michael H. Weber,NA,2015-07-24,109,20th Century Fox
B_1443,Sunset Edge,69,NOT RATED,Drama;Mystery & Suspense,Daniel Peddle,Daniel Peddle,NA,2015-05-29,87,Cavu Pictures
B_1444,Cut Snake,67,R,Mystery & Suspense,Tony Ayres,Blake Ayshford,NA,NA,94,Monterey Media
B_1445,Meet Me In Montenegro,50,NOT RATED,Comedy;Drama,Alex Holdridge;Linnea Saasen,Linnea Saasen;Alex Holdridge,7367,2015-07-10,88,The Orchard
B_1446,Hungry Hearts,64,NOT RATED,Drama,Saverio Costanzo,Saverio Costanzo,NA,2015-06-05,109,IFC Films
B_1447,"One Cut, One Life",100,NOT RATED,Documentary,Ed Pincus;Lucia Small,NA,8683,2015-05-13,107,First Run Features
B_1448,Gloria,100,R,Drama,Christian Keller Sarmiento,Sabina Berman,NA,2015-02-20,127,Picturehouse Films
B_1449,Z For Zachariah,80,PG-13,Drama;Science Fiction & Fantasy,Craig Zobel,Nissar Modi,118483,2015-08-28,97,
B_1450,The Wolfpack,85,R,Documentary,Crystal Moselle,NA,1300447,2015-06-12,80,Magnolia Pictures
B_1451,Dope,88,R,Comedy;Drama,Rick Famuyiwa,Rick Famuyiwa,11674449,2015-09-04,115,Open Road Films
B_1452,Call Me Lucky,85,NOT RATED,Documentary,Bobcat Goldthwait,Bobcat Goldthwait,NA,2015-08-07,105,MPI Media Group
B_1453,The Gift,92,R,Mystery & Suspense,Joel Edgerton,Joel Edgerton,33061006,2015-08-07,108,STX Entertainment
B_1454,Faith Of Our Fathers,10,PG-13,Drama;Faith & Spirituality,Carey Scott,Carey Scott;Kevin Downes;David A.R. White;Harold Uhl,975344,2015-07-01,105,Pure Flix
B_1455,7 Chinese Brothers,75,NOT RATED,Comedy,Bob Byington,Bob Byington,NA,2015-08-28,76,Screen Media Films
B_1456,The Gallows,16,R,Horror;Mystery & Suspense,Travis Cluff;Chris Lofing,Travis Cluff;Chris Lofing,NA,2015-07-10,87,New Line Cinema
B_1457,Dragon Ball Z: Resurrection 'F',81,NOT RATED,Action & Adventure;Animation;Science Fiction & Fantasy,Tadayoshi Yamamuro,Akira Toriyama,NA,2015-08-04,93,FUNimation Films
B_1458,The Vatican Tapes,17,PG-13,Drama;Horror;Mystery & Suspense,Mark Neveldine,Chris Morgan;Michael C. Martin;Christopher Borrelli,NA,2015-07-24,90,Pantelion Films
B_1459,Tomorrowland,50,PG,Science Fiction & Fantasy,Brad Bird,Brad Bird;Damon Lindelof,71526443,2015-05-22,107,Walt Disney Pictures
B_1460,What We Did on Our Holiday,73,PG-13,Comedy,Andy Hamilton;Guy Jenkin,Andy Hamilton;Guy Jenkin,2662550,2015-07-10,95,Lionsgate Films
B_1461,Tio Papi,29,PG,Comedy;Drama;Kids & Family,Fro Rojas,Brian Herskowitz;Joey Dedio,NA,2013-09-06,90,Tio Papi The Movie LLC.
B_1462,Dark Places,25,R,Drama;Mystery & Suspense,Gilles Paquet-Brenner,Gillian Flynn;Gilles Paquet-Brenner,129483,2015-08-07,114,
B_1463,Particle Fever,96,NOT RATED,Documentary,Mark Levinson,NA,869838,2014-03-05,99,BOND360
B_1464,The Falling,74,NOT RATED,Drama;Mystery & Suspense,NA,NA,144370,2015-08-07,100,
B_1465,Get Married If You Can,20,NOT RATED,Comedy,Marco Polo Constandse,Martha Higareda,NA,NA,107,
B_1466,Manglehorn,49,PG-13,Comedy;Drama,David Gordon Green,Paul Logan,63602,2015-06-19,97,
B_1467,In The Courtyard,67,R,Comedy;Drama,Pierre Salvadori,David LÃÂ©otard;Pierre Salvadori,NA,2015-04-10,97,Cohen Media Group
B_1468,Insidious: Chapter 3,58,PG-13,Horror,Leigh Whannell,Leigh Whannell,NA,2015-06-05,97,Focus Features
B_1469,Harmontown,78,NOT RATED,Comedy;Documentary;Special Interest,Neil Berkeley,NA,NA,2014-10-03,101,The Orchard
B_1470,Ardor,36,R,Drama;Western,Pablo Fendrik,Pablo Fendrik,NA,2015-07-17,100,Participant Media
B_1471,Magic Mike XXL,65,R,Comedy,Gregory Jacobs,Channing Tatum;Reid Carolin,NA,2015-07-01,115,Warner Bros. Pictures
B_1472,The Anomaly,0,NOT RATED,Action & Adventure;Mystery & Suspense;Science Fiction & Fantasy,Noel Clarke,Simon R. Lewis,NA,2015-09-25,97,Anchor Bay Films/Freestyle
B_1473,Amour Fou,89,NOT RATED,Drama,Jessica Hausner,Jessica Hausner,NA,2015-03-18,96,Film Movement
B_1474,Mateo,57,NOT RATED,Action & Adventure;Documentary;Drama;Musical & Performing Arts,Aaron I. Naar,NA,NA,2015-08-21,88,Xlrator Media
B_1475,Awake: The Life Of Yogananda,67,PG,Documentary,Lisa Leeman;Paola di Florio,NA,NA,2014-10-10,87,PMK BNC Film
B_1476,The Little Death,60,PG-13,Comedy,Josh Lawson (II),Josh Lawson (II),NA,2015-06-26,97,Magnolia Pictures
B_1477,Sharknado 3: Oh Hell No!,36,NOT RATED,Television,Anthony C. Ferrante,Thunder Levin,NA,NA,120,
B_1478,Gravy,33,NOT RATED,Comedy;Horror,James Roday,James Roday;Todd Harthan,NA,2015-10-06,95,Shout! Factory
B_1479,Last Shift,100,R,Horror;Mystery & Suspense,Anthony DiBlasi,Anthony DiBlasi;Scott Poiley,NA,2015-10-06,90,NA
B_1480,Air,17,PG-13,Mystery & Suspense;Science Fiction & Fantasy,Christian Cantamessa,Christian Cantamessa;Chris Pasetto,NA,2015-08-14,94,Stage 6 Films
B_1481,Batkid Begins,81,PG,Documentary,Dana Nachman,Dana Nachman;Kurt Kuenne,73002,2015-06-26,87,Warner Bros. Pictures
B_1482,Fresh Dressed,89,NOT RATED,Drama,Sacha Jenkins,NA,NA,2015-06-26,90,Samuel Goldwyn Films
B_1483,Going Clear: Scientology and the Prison of Belief,94,NOT RATED,Documentary,Alex Gibney,NA,NA,2015-03-13,120,Home Box Office
B_1484,Me and Earl and the Dying Girl,82,PG-13,Drama,Alfonso Gomez-Rejon,Jesse Andrews,NA,2015-06-12,104,Fox Searchlight
B_1485,People Places Things,77,R,Comedy,James C. Strouse,James C. Strouse,30768,2015-08-14,85,The Film Arcade
B_1486,Ten Thousand Saints,55,R,Comedy;Drama,Robert Pulcini;Shari Springer Berman,Shari Springer Berman;Robert Pulcini,NA,2015-08-14,113,Screen Media Ventures
B_1487,Road Hard,52,NOT RATED,Comedy,Adam Carolla;Kevin Hench,Adam Carolla;Kevin Hench,NA,2015-03-06,98,FilmBuff
B_1488,We Are Still Here,95,NOT RATED,Horror,Ted Geoghegan,Ted Geoghegan,NA,2015-06-05,84,
B_1489,Final Girl,27,R,Drama;Mystery & Suspense,Tyler Shields,Adam Prince,NA,2015-08-14,90,
B_1490,Poltergeist,32,PG-13,Horror,Gil Kenan,Steven Spielberg;David Lindsay-Abaire,39918054,2015-05-22,1,20th Century Fox
B_1491,"Electric Boogaloo: The Wild, Untold Story of Cannon Films",90,R,Documentary;Television,Mark Hartley,Mark Hartley,NA,2012-01-01,107,
B_1492,Avengers: Age of Ultron,75,PG-13,Action & Adventure;Science Fiction & Fantasy,Joss Whedon,Stan Lee;Jack Kirby;Joss Whedon,429113729,2015-05-01,141,Walt Disney Pictures
B_1493,Blumenthal,50,NOT RATED,Comedy,Seth Fisher,Seth Fisher,NA,2014-03-28,86,Gone Fishing Pictures
B_1494,Furious 7,80,PG-13,Action & Adventure;Mystery & Suspense,James Wan,Chris Morgan,316986481,2015-04-03,140,Universal Pictures
B_1495,Pitch Perfect 2,65,PG-13,Comedy;Musical & Performing Arts,Elizabeth Banks,Mickey Rapkin;Kay Cannon,165744048,2015-05-15,114,Universal Pictures
B_1496,The Connection,76,R,Action & Adventure;Documentary;Mystery & Suspense,CÃ©dric Jimenez,CÃ©dric Jimenez;Audrey Diwan,128657,2015-05-15,135,Drafthouse Films
B_1497,Return to Sender,13,NOT RATED,Mystery & Suspense,Fouad Mikati,Patricia Beauchamp;Joe Gossett,NA,2015-08-14,105,
B_1498,Spy,94,R,Comedy,Paul Feig,Paul Feig,89914425,2015-06-05,117,20th Century Fox
B_1499,Entourage,33,R,Comedy,Doug Ellin,Rob Weiss;Doug Ellin,NA,2015-06-03,105,Warner Bros. Pictures
B_1500,Saint Laurent,60,R,Art House & International;Drama;Special Interest,Bertrand Bonello,Bertrand Bonello;Thomas Bidegain,NA,2015-05-08,135,Sony Pictures Classics
B_1501,Aloft,16,R,Drama,Claudia Llosa,Claudia Llosa,NA,2015-05-22,112,Sony Pictures Classics
B_1502,The Heart Machine,95,NOT RATED,Drama,Zachary Wigon,Zachary Wigon,NA,2014-10-24,85,FilmBuff
B_1503,The Only Real Game,100,NOT RATED,Documentary;Drama;Special Interest,Mirra Bank,NA,NA,2014-06-06,82,Baseball Dreams
B_1504,"Bai ri yan huo (Black Coal, Thin Ice)",95,NOT RATED,Drama;Mystery & Suspense,Yinan Diao;Diao Yinan,Yinan Diao,NA,NA,106,
B_1505,Soul Boys Of The Western World,72,NOT RATED,Documentary;Musical & Performing Arts;Special Interest,George Hencken,NA,NA,2015-04-29,112,IFC Films
B_1506,Famous Nathan,100,NOT RATED,Documentary;Special Interest,Lloyd Handwerker,Lloyd Handwerker,NA,NA,96,Loquat Films
B_1507,In the Name of My Daughter,50,R,Art House & International;Drama,AndrÃ© TÃ©chinÃ©,AndrÃ© TÃ©chinÃ©;CÃ©dric Anger;Jean-Charles Le Roux,266120,2015-05-15,116,Cohen Media Group
B_1508,The Human Experiment,56,NOT RATED,Documentary;Special Interest,Dana Nachman;Don Hardy,Dana Nachman,NA,2015-04-17,52,Area 23a
B_1509,The Great Museum,64,NOT RATED,Documentary;Special Interest,Johannes Holzhausen,NA,NA,2015-04-24,94,Kino Lorber Films
B_1510,Lyle,100,NOT RATED,Drama;Horror,Stewart Thorndike,Stewart Thorndike,NA,NA,65,Stewart Thorndike/Alex Scharfman
B_1511,The Farewell Party,94,NOT RATED,Drama,Sharon Maymon;Tal Granit,Sharon Maymon;Tal Granit,NA,2015-05-22,95,Samuel Goldwyn Films
B_1512,Felix & Meira,78,R,Drama,Maxime Giroux,Maxime Giroux;Alexandre LaferriÃ¨re,NA,2015-04-17,105,Oscilloscope Laboratories
B_1513,A Murder In The Park,76,PG-13,Documentary;Mystery & Suspense,Brandon Kimber;Shawn Rech,NA,6332,2015-06-26,93,IFC Films
B_1514,The Other Man: F.W. de Klerk and the End of Apartheid,50,NOT RATED,Documentary,Nicolas Rossier,Nicolas Rossier,1153,2015-02-06,75,First Run Features
B_1515,Cop Car,80,R,Mystery & Suspense,Jon Watts,Jon Watts;Christopher Ford,128002,2015-08-07,86,Focus World
B_1516,The Overnight,82,R,Comedy,Patrick Brice,Patrick Brice,1109808,2015-06-19,80,The Orchard
B_1517,Unexpected,67,R,Comedy;Drama,Kris Swanberg,Kris Swanberg;Megan Mercier,NA,2015-07-24,90,The Film Arcade
B_1518,Zipper,17,R,Drama;Mystery & Suspense,Mora Stephens,Mora Stephens;Joel Viertel,NA,2015-08-28,103,Alchemy Films
B_1519,Results,83,R,Comedy,Andrew Bujalski,Andrew Bujalski,NA,2015-05-29,105,Magnolia Pictures
B_1520,Big Sky,20,NOT RATED,Drama;Mystery & Suspense,Jorge Michel Grau,Evan M. Wiener,NA,2015-08-14,90,
B_1521,Showrunners: The Art of Running a TV Show,67,NOT RATED,Documentary;Special Interest;Television,Des Doyle,NA,NA,2014-10-31,90,Submarine Deluxe
B_1522,Cinderella,84,PG,Kids & Family;Science Fiction & Fantasy;Romance,Kenneth Branagh,Aline Brosh McKenna;Chris Weitz,183327144,2015-03-13,105,Walt Disney Pictures
B_1523,Queen and Country,78,PG-13,Comedy;Drama,John Boorman,John Boorman,NA,2015-02-18,115,BBC Worldwide North America
B_1524,Love & Mercy,91,PG-13,Drama;Musical & Performing Arts,Bill Pohlad,Oren Moverman;Michael Alan Lerner,8790100,2015-06-05,121,Roadside Attractions
B_1525,Misery Loves Comedy,36,NOT RATED,Comedy;Documentary;Special Interest,Kevin Pollak,Kevin Pollak;John Varhous;John Vorhaus,5250,2014-04-24,95,Tribeca Films
B_1526,Closer To The Moon,46,NOT RATED,Drama,Nae Caranfil,Nae Caranfil,NA,2015-04-17,110,IFC Films
B_1527,The Town That Dreaded Sundown,70,R,Horror;Mystery & Suspense,Alfonso Gomez-Rejon,Roberto Aguirre-Sacasa;Earl E. Smith,NA,2014-10-16,90,
B_1528,The Age of Adaline,56,PG-13,Drama;Science Fiction & Fantasy,Lee Toland Krieger,Salvador Paskowitz;Allison Burnett;J. Mills Goodloe,NA,2015-04-24,112,Lionsgate
B_1529,Diplomacy,94,NOT RATED,Drama,Volker SchlÃ¶ndorff,Cyril Gely;Volker SchlÃ¶ndorff,NA,2014-10-15,85,Zeitgeist Films
B_1530,The Last Impresario,93,NOT RATED,Documentary;Special Interest,Gracie Otto,Gracie Otto,NA,NA,83,FilmBuff
B_1531,Disneynature Monkey Kingdom,94,G,Documentary,Mark Linfield;Alastair Fothergill,NA,11360669,2015-04-17,85,Walt Disney Pictures
B_1532,United Passions,0,NOT RATED,Drama,FrÃ©dÃ©ric Auburtin,FrÃ©dÃ©ric Auburtin;Jean-Paul Delfino,900,2015-06-05,110,Screen Media Films
B_1533,Blood Punch,78,NOT RATED,Horror;Mystery & Suspense,Madellaine Paxson,Eddie Guzelian,NA,NA,104,NA
B_1534,The Suicide Theory,78,R,Drama,Dru Brown,Michael J Kospiah;Joseph J. Kospiah,5229,2015-07-10,98,Freestyle Releasing
B_1535,Gemma Bovery,51,R,Comedy;Drama,Anne Fontaine,Pascal Bonitzer;Anne Fontaine,NA,2015-05-29,100,Music Box Films
B_1536,The Editor,55,NOT RATED,Horror,Adam Brooks;Matthew Kennedy,NA,NA,NA,102,
B_1537,Glen Campbell: I'll Be Me,100,PG,Documentary;Musical & Performing Arts,James Keach,NA,NA,2014-10-24,116,PCH Films
B_1538,American Heist,13,R,Action & Adventure;Drama,Sarik Andreasyan,Raul Inglis,NA,2015-07-24,94,
B_1539,Good Kill,75,R,Mystery & Suspense,Andrew Niccol,Andrew Niccol,NA,2015-05-15,103,IFC Films
B_1540,Heaven Knows What,87,R,Drama,Benny Safdie;Joshua Safdie,Joshua Safdie;Ronald Bronstein,80013,2015-05-29,94,Radius
B_1541,Paper Planes,83,NOT RATED,Drama;Kids & Family,Robert Connolly,Steve Worland;Robert Connolly,5762910,NA,96,
B_1542,Urok (The Lesson),83,NOT RATED,Art House & International;Drama,Kristina Grozeva;Petar Valchanov,Kristina Grozeva;Petar Valchanov,1801,2015-03-04,105,Film Movement
B_1543,Red Knot,89,NOT RATED,Drama,Scott Cohen,Scott Cohen,NA,2014-12-05,80,Thunder Perfect Mind
B_1544,Reality (RÃ©alitÃ©),64,NOT RATED,Drama,Quentin Dupieux,Quentin Dupieux,NA,2015-05-01,87,IFC Films
B_1545,Nightingale,81,PG-13,Drama;Mystery & Suspense,Elliott Lester,Frederick Mensch,NA,NA,83,
B_1546,That Sugar Film,66,NOT RATED,Documentary,Damon Gameau,Damon Gameau,NA,2015-07-31,97,Samuel Goldwyn Films
B_1547,The D Train,50,R,Comedy,Andrew Mogel;Jarrad Paul,Andrew Mogel;Jarrad Paul,NA,2015-05-08,97,IFC Films
B_1548,Bessie,89,R,Drama;Television,Dee Rees,Dee Rees;Christopher Cleveland;Bettina Gilois,NA,NA,113,
B_1549,Extinction,25,R,Drama;Horror;Mystery & Suspense,Miguel Ãngel Vivas,Alberto Marini;Miguel Ãngel Vivas,NA,2015-07-31,110,Vertical Entertainment
B_1550,Harbinger Down,43,R,Horror;Science Fiction & Fantasy,Alec Gillis,Alec Gillis,NA,2015-08-07,82,Vertical Entertainment
B_1551,Safelight,0,R,Drama,Tony Aloupis,Tony Aloupis,NA,2015-07-17,84,
B_1552,The Runner,26,R,Action & Adventure;Art House & International;Documentary;Drama;Science Fiction & Fantasy;Special Interest,Austin Stark,Austin Stark,NA,2015-08-07,94,Alchemy
B_1553,The Horror of H.P. Lovecraft (LovecraCked! The Movie) (2006),40,NOT RATED,Comedy;Horror;Science Fiction & Fantasy,Brian Bernhard;Grady Granros;Justin Powers;Elias;Jane Rose;Ashley Thorpe;Tomas Almgren;Simon Ruben;Brian Barnes;Doug Sakmann,NA,NA,2006-07-24,87,NA
B_1554,About Elly,99,NOT RATED,Art House & International;Drama;Kids & Family,Asghar Farhadi,Asghar Farhadi,54665,2015-04-08,119,Cinema Guild
B_1555,Mad Max: Fury Road,97,R,Action & Adventure;Science Fiction & Fantasy,George Miller,Brendan McCarthy;Nick Lathouris;George Miller,129483877,2015-05-15,120,Warner Bros.
B_1556,Broken Horses,22,R,Action & Adventure;Drama,Vidhu Vinod Chopra,Vidhu Vinod Chopra;Abhijat Joshi,NA,2015-04-10,101,Vinod Chopra Films
B_1557,The Color Wheel,76,NOT RATED,Comedy;Drama,Alex Ross Perry,Alex Ross Perry;Carlen Altman,NA,2012-05-18,83,Independent Pictures
B_1558,Aloha,19,PG-13,Action & Adventure;Comedy,Cameron Crowe,Cameron Crowe,15669178,2015-05-29,105,Sony Pictures
B_1559,Big Game,78,PG-13,Action & Adventure,Jalmari Helander,Jalmari Helander;Petri Jokiranta,17408,2015-06-26,90,EuropaCorp
B_1560,The Turning,85,NOT RATED,Art House & International;Drama,Tony Ayres;Jonathan Auf Der Heide;David Wenham;Ashlee Page;Anthony Lucas;Mia Wasikowska;Robert Connolly;Stephen Page (IV);Warwick Thornton;Simon Stone;Marieka Walsh;Rhys Graham;Shaun Gladwell;Justin Kurzel;Yaron Lifschitz;Claire McCarthy;Jub Clerc;Ian Meadows,Andrew Upton,NA,NA,180,Madman Entertainment
B_1561,A Wolf at the Door (O Lobo atrÃ¡s da Porta),84,NOT RATED,Drama,Fernando Coimbra,Fernando Coimbra,NA,2015-03-27,100,Outsider Pictures
B_1562,Our Man in Tehran,83,NOT RATED,Documentary;Special Interest,Larry Weinstein;Drew Taylor,Robert Wright,2333,2015-05-15,85,First Run Features
B_1563,"Two Days, One Night",97,PG-13,Drama,Jean-Pierre Dardenne;Luc Dardenne,Luc Dardenne;Jean-Pierre Dardenne,NA,2014-12-24,95,IFC Films
B_1564,Animals,85,NOT RATED,Drama,Collin Schiffli,David Dastmalchian,12000,2015-05-15,90,Oscilloscope Pictures
B_1565,Five Star,74,NOT RATED,Drama,Keith Miller,Keith Miller,NA,2015-07-31,83,Xlrator Media
B_1566,Welcome To New York,75,R,Drama,Abel Ferrara,Christ Zois;Abel Ferrara,NA,2015-03-27,125,IFC Films
B_1567,The Harvest,65,NOT RATED,Horror;Mystery & Suspense,John McNaughton,Stephen Lancellotti,NA,2015-04-24,104,IFC Films
B_1568,The Face Of An Angel,38,NOT RATED,Drama,Michael Winterbottom,Paul Viragh,NA,2015-06-19,100,Screen Media Films
B_1569,Citizenfour,96,R,Documentary,Laura Poitras,NA,NA,2014-10-21,114,Radius-TWC
B_1570,Felt,63,NOT RATED,Drama;Horror;Mystery & Suspense;Romance,Jason Banker,Jason Banker;Amy Everson,NA,2015-06-26,79,Amplify Releasing
B_1571,Banksy Does New York,100,NOT RATED,Documentary,Chris Moukarbel,NA,NA,2014-10-11,75,Matador Content
B_1572,Dark Was The Night,47,NOT RATED,Drama;Horror;Mystery & Suspense,Jack Heller (III),Tyler Hisel,NA,2015-07-24,94,RLJE/Image Entertainment
